,checkpoint,cosine_sim
0,5000,0.6349233545505083
1,10000,0.680219634671552
2,15000,0.742515186550638
3,20000,0.7383770026662247
4,25000,0.7641575709208142
5,30000,0.7684688765062198
6,35000,0.7594976337569436
7,40000,0.7802260743242786
8,45000,0.7640566578447192
9,50000,0.7980613383025538
10,55000,0.7921077164386662
11,60000,0.8030988179427916
12,65000,0.8032446033731908
13,70000,0.786760159383632
14,75000,0.7975733193459096
15,80000,0.804283012796018
16,85000,0.8103817365826407
17,90000,0.7996085113145881
18,95000,0.8099468393311405
19,100000,0.8069347646901395
20,105000,0.8106014691099177
21,110000,0.8032062276613852
22,115000,0.8131110793768068
23,120000,0.8158135381329589
24,125000,0.8131228329440585
25,130000,0.8141214076823841
26,135000,0.8158705371728312
27,140000,0.8167268514279912
28,141205,0.816984984083969
