,checkpoint,cosine_sim
0,5000,0.6816196699458555
1,10000,0.7420855270302994
2,15000,0.7437739753584461
3,20000,0.7809260314441506
4,25000,0.7796596344631361
5,30000,0.7866173504848883
6,35000,0.8048707983662654
7,40000,0.7876198324921105
8,45000,0.8061142017922543
9,50000,0.8125959007324086
10,55000,0.8072532647432726
11,60000,0.8121632500140156
12,65000,0.812524910799073
13,70000,0.8071902766536717
14,75000,0.8186818814644895
15,80000,0.8265243889316528
16,85000,0.8257093210593218
17,90000,0.8232759750839348
18,95000,0.8216982125107881
19,100000,0.828114376109332
20,103080,0.828444317410431
